fold,num_train_samples,num_test_samples,weighted_mae
fold_1,164115,26559,14128.068816930825
fold_10,397841,23729,14718.186527414024
fold_2,190674,23543,14403.010960521407
fold_3,214217,26386,14640.413296742681
fold_4,240603,26581,14517.046598221654
fold_5,267184,26948,16925.121701134365
fold_6,294132,23796,14417.808315953449
fold_7,317928,26739,14311.23303785454
fold_8,344667,26575,14704.560783061761
fold_9,371242,26599,14759.490979347367
