Full,Ridge.min,Lasso.min,Lasso.1se,L.Refit,PCR
,0.039517183368823504,"(np.float64(0.040860676456474), Lasso(alpha=np.float64(0.0001), max_iter=10000))",0.039889534971208944,0.043795343452441265,0.04572767572919076
,0.024231632567643546,"(np.float64(0.025055775299912562), Lasso(alpha=np.float64(0.00012915496650148828), max_iter=10000))",0.025297734582602295,0.027823704194385523,0.027988304313050095
,0.025041943101249957,"(np.float64(0.025350574508158072), Lasso(alpha=np.float64(0.00016681005372000556), max_iter=10000))",0.03307789763923965,0.028785070464608938,0.026803840725428543
,0.030721411212585682,"(np.float64(0.032034368206119775), Lasso(alpha=np.float64(2.7825594022071202e-05), max_iter=10000))",0.022839339655456134,0.031421208155525834,0.03471281343867637
,0.0320496607776749,"(np.float64(0.037054066675895676), Lasso(alpha=np.float64(2.7825594022071202e-05), max_iter=10000))",0.024963983464799663,0.02782935006826915,0.02764445223484329
,0.025907383349729193,"(np.float64(0.02593558961562694), Lasso(alpha=np.float64(0.0001), max_iter=10000))",0.027562956514332458,0.025415140395532082,0.027462975588204187
,0.02820454319960218,"(np.float64(0.028189431542677), Lasso(alpha=np.float64(0.00035938136638046257), max_iter=10000))",0.03183154859997401,0.0337589015459181,0.028154874399028335
,0.03618910961746842,"(np.float64(0.03891338265693257), Lasso(alpha=np.float64(7.742636826811262e-05), max_iter=10000))",0.034181991121339,0.038778416958124326,0.046445709156294014
,0.02798638377426823,"(np.float64(0.02769946968354725), Lasso(alpha=np.float64(5.994842503189409e-05), max_iter=10000))",0.028749338095995305,0.029854653162298458,0.029246599247433745
,0.021396240733252095,"(np.float64(0.022171984659494087), Lasso(alpha=np.float64(0.00012915496650148828), max_iter=10000))",0.021245314821729713,0.021656393009691154,0.02904916474124991
,0.019751585067028333,"(np.float64(0.01974079510080389), Lasso(alpha=np.float64(0.00035938136638046257), max_iter=10000))",0.02610023168247397,0.021375208562905798,0.021352674684759123
,0.03527460455902035,"(np.float64(0.03828559575702091), Lasso(alpha=np.float64(0.0005994842503189409), max_iter=10000))",0.03859700463295651,0.04127661601480473,0.037580989969919
,0.024281851388410422,"(np.float64(0.02393739362444293), Lasso(alpha=np.float64(0.0001), max_iter=10000))",0.02853453761839567,0.026005821108560555,0.027084655728349172
,0.030354854086235877,"(np.float64(0.030821263805043943), Lasso(alpha=np.float64(0.0007742636826811262), max_iter=10000))",0.03413017094180674,0.03411243803942847,0.03399046817261407
,0.038769540561814475,"(np.float64(0.03878725718107605), Lasso(alpha=np.float64(0.00035938136638046257), max_iter=10000))",0.04370121820750286,0.042902898606054285,0.04048881791379858
,0.027194157369378996,"(np.float64(0.02925365061475702), Lasso(alpha=np.float64(0.0007742636826811262), max_iter=10000))",0.03119369188072609,0.031299865366885594,0.025387766923073336
,0.029051266491521236,"(np.float64(0.02929302458156975), Lasso(alpha=np.float64(0.00046415888336127724), max_iter=10000))",0.031712144989075805,0.030497145101325212,0.029247551203260426
,0.015489830144923684,"(np.float64(0.015661758968316314), Lasso(alpha=np.float64(0.00035938136638046257), max_iter=10000))",0.016055505829735642,0.01840606423049132,0.018101413929034697
,0.03299279769714487,"(np.float64(0.03409584253241765), Lasso(alpha=np.float64(7.742636826811262e-05), max_iter=10000))",0.029630065610049015,0.03351491352083274,0.03149644150872229
,0.019497312110302898,"(np.float64(0.01891597035018639), Lasso(alpha=np.float64(0.00021544346900318823), max_iter=10000))",0.028509462125178766,0.02463253246305639,0.02649461970768948
,0.032501850251525057,"(np.float64(0.0345652913212446), Lasso(alpha=np.float64(2.7825594022071202e-05), max_iter=10000))",0.030280659493375776,0.030890560801877583,0.030362002565539455
,0.04172618534344005,"(np.float64(0.043238710187254344), Lasso(alpha=np.float64(4.641588833612772e-05), max_iter=10000))",0.04249497873539105,0.04543597764602874,0.04412418777054763
,0.02784576774805649,"(np.float64(0.02906999534757308), Lasso(alpha=np.float64(0.0005994842503189409), max_iter=10000))",0.030216004164330505,0.03047236424344881,0.030023653959676436
,0.029156612956294556,"(np.float64(0.030789728892128675), Lasso(alpha=np.float64(0.00021544346900318823), max_iter=10000))",0.03232887913779503,0.033818333061312746,0.03240395592206184
,0.017127377527716127,"(np.float64(0.017680406608818033), Lasso(alpha=np.float64(0.0001), max_iter=10000))",0.029206163645942956,0.02664892994924011,0.018119047389797454
,0.021296399887483376,"(np.float64(0.0275058279773947), Lasso(alpha=np.float64(1e-10), max_iter=10000))",0.02148169873659235,0.020017376269641222,0.022926138707845874
,0.020284676174393012,"(np.float64(0.02244629833208525), Lasso(alpha=np.float64(0.00016681005372000556), max_iter=10000))",0.021406969224238494,0.021358823024034777,0.024874795574659322
,0.024989289513641724,"(np.float64(0.025461411573691528), Lasso(alpha=np.float64(0.00021544346900318823), max_iter=10000))",0.029075496994655815,0.026387685540404812,0.025687745309184218
,0.028219714797141245,"(np.float64(0.030135624275547484), Lasso(alpha=np.float64(0.0007742636826811262), max_iter=10000))",0.03218809704199262,0.031114967202746414,0.028368656341950918
,0.022145756472332145,"(np.float64(0.021904695428159784), Lasso(alpha=np.float64(0.00016681005372000556), max_iter=10000))",0.024183052470394074,0.02358026303987813,0.02444192543939983
,0.02438265629466308,"(np.float64(0.023038340746531), Lasso(alpha=np.float64(0.00027825594022071204), max_iter=10000))",0.025193128690068286,0.02575017193737828,0.02790709663833263
,0.030707195461462836,"(np.float64(0.030079703206061285), Lasso(alpha=np.float64(0.00016681005372000556), max_iter=10000))",0.034945672346883574,0.034907563702120725,0.027664612190404024
