Feature,Coefficient
cat__Store_Dept_10_33,9552.434718233366
cat__Store_Dept_10_34,30570.086491154158
cat__Store_Dept_10_35,5638.537234266018
cat__Store_Dept_10_36,1552.512747613928
cat__Store_Dept_10_37,762.5070273592605
cat__Store_Dept_10_38,28084.592153318044
cat__Store_Dept_10_4,23042.61842793257
cat__Store_Dept_10_40,55939.89987246841
cat__Store_Dept_10_41,8369.355903358224
cat__Store_Dept_10_42,6261.199082836476
cat__Store_Dept_10_44,4678.224710436757
cat__Store_Dept_10_45,-328.8625610139838
cat__Store_Dept_10_46,35537.40058329637
cat__Store_Dept_10_47,-385.6975062878283
cat__Store_Dept_10_48,885.0875818833777
cat__Store_Dept_10_49,13868.77321960196
cat__Store_Dept_10_5,37886.85522783294
cat__Store_Dept_10_50,1375.2880695690112
cat__Store_Dept_10_51,-294.2233805930489
cat__Store_Dept_10_52,3076.959623769563
cat__Store_Dept_10_54,-233.93191853466107
cat__Store_Dept_10_55,11347.69814513616
cat__Store_Dept_10_56,-2512.771777204778
cat__Store_Dept_10_58,856.9576984444637
cat__Store_Dept_10_59,1161.8959386724705
cat__Store_Dept_10_6,6106.571069470034
cat__Store_Dept_10_60,-90.23525503129981
cat__Store_Dept_10_67,5853.408372575114
cat__Store_Dept_10_7,35355.47071803508
cat__Store_Dept_10_71,10830.73431020705
cat__Store_Dept_10_72,97160.89802906635
cat__Store_Dept_10_74,28533.261692247394
cat__Store_Dept_10_77,424.9970093640818
cat__Store_Dept_10_78,-313.2899947609354
cat__Store_Dept_10_79,16177.835878552394
cat__Store_Dept_10_8,57003.18435087937
cat__Store_Dept_10_80,-10851.895130179555
cat__Store_Dept_10_81,-4784.802496839795
cat__Store_Dept_10_82,8208.197505542625
cat__Store_Dept_10_83,-3219.9756433060556
cat__Store_Dept_10_85,486.57405152372905
cat__Store_Dept_10_87,10562.016163615506
cat__Store_Dept_10_9,45027.15357670502
cat__Store_Dept_10_90,-30146.281533881687
