fold,num_train_samples,num_test_samples,weighted_mae
fold_1,164115,26559,14616.64061073558
fold_10,397841,23729,15019.230236349322
fold_2,190674,23543,14831.336128419665
fold_3,214217,26386,14998.36362318456
fold_4,240603,26581,14786.099500860115
fold_5,267184,26948,16947.42675182231
fold_6,294132,23796,15227.092521683191
fold_7,317928,26739,14956.27167802972
fold_8,344667,26575,15151.821432724868
fold_9,371242,26599,15130.617380606263
