Store,Dept,Mean_Error,Std_Error,Sample_Count
1,1,7447.259074706935,8218.94290141482,9
1,2,2534.0506045588036,2699.835067201782,9
1,3,3469.9000641989605,1222.431630867535,9
1,4,1267.1323149690627,736.9646373335277,9
1,5,6475.535336914944,3156.4748713412732,9
1,6,542.3713275689346,321.4235418517752,9
1,7,2784.9426082066616,1688.7084197748286,9
1,8,1936.1695164729135,1113.4267648040293,9
1,9,9806.927293170258,4308.703874646535,9
1,10,4858.364427560385,3960.09801976001,9
1,11,2216.3226007393628,1286.4757267094894,9
1,12,4508.421295542374,1474.6022094901568,9
1,13,1517.9462985275725,1624.7435179293047,9
1,14,2641.8927390000067,1192.0458054358648,9
1,16,37838.83304600035,9844.904159466663,9
1,17,1177.7792175404716,1056.447858273947,9
1,18,7129.439923144521,2531.876305708614,9
1,19,247.18173171857012,206.38604291460163,9
1,20,593.1953362517656,355.01875404863557,9
1,21,369.6334747191248,429.0863295874282,9
1,22,2300.327374016553,1215.7078882674743,9
1,23,1586.2486115624156,888.3643800188362,9
1,24,1571.8880147367786,650.1018530363162,9
1,25,3310.1507646017435,930.1552651212154,9
1,26,585.7523405143788,333.39990525521745,9
1,27,539.5011801994976,183.34650904765027,9
1,28,131.1235119360064,85.27749384546927,9
1,29,1189.089062837511,574.0294073411123,9
1,30,1180.8475459715833,335.5801528767129,9
1,31,923.2004610948827,393.9861373457787,9
1,32,2583.7736043054397,730.0432783472296,9
1,33,744.0048961423481,496.14155401384534,9
1,34,1023.2889459503214,1098.1333357394033,9
1,35,572.567247182308,345.2981823761113,9
1,36,269.12496847710946,220.6420356148549,9
1,37,377.26514242650967,228.43007171580092,9
1,38,7524.015381857289,5444.852620935726,9
1,40,3228.637224151758,2660.3811301223022,9
1,41,380.9318603965236,157.844783753144,9
1,42,1082.3515168288595,618.542239046552,9
1,44,420.15031259560686,285.37076398620417,9
1,45,8.951737075730094,5.000010233924193,4
1,46,923.0847281937362,1021.4916930146082,9
1,47,188.23083531846808,242.59678627529223,2
1,48,281.4319749588642,238.8766896078939,8
1,49,1455.7474388542012,1039.0574052866955,9
1,52,350.3347544263581,325.03519118748295,9
1,54,68.52541776396858,40.63190088304221,8
1,55,3403.1682601992206,2401.268853518308,9
1,56,10511.953399034506,2678.660983239044,9
1,58,1178.254902010834,920.6850817737195,9
1,59,822.1348518986425,258.14850162191385,9
1,60,182.24229342120083,139.941820659526,9
1,67,1528.0243416670685,740.6847177451308,9
1,71,1124.5179423287423,567.5036651384333,9
1,72,12333.95041681343,5335.669855299239,9
1,74,1537.5147370499296,1053.0666898780248,9
1,79,3945.749561114252,3830.0894734904246,9
1,80,889.5824476806429,647.1413860268809,9
1,81,1536.0702333534582,1135.4721320263297,9
1,82,2786.961431205586,1649.7589769002036,9
1,83,1228.8878982041633,1115.9726530946123,9
1,85,313.3786309849988,304.5925797221362,9
1,87,6443.0851709389235,3870.6518277876326,9
1,90,2581.6638538820666,1763.8180158240289,9
1,91,5132.654734827243,2431.106571904764,9
1,92,10349.492379341531,8937.928482604002,9
1,93,4802.458759651941,2961.388634613698,9
1,94,11479.588761682557,3562.412562340681,9
1,95,11535.826355231033,5502.669394837198,9
1,96,6740.497730668755,5143.562213819609,9
1,97,2451.0730410548877,1645.1098094073964,9
1,98,693.0850400135706,555.4927977663485,9
1,99,214.98999609686874,233.3452378369485,2
2,1,11940.276294525895,12180.226410108422,9
2,2,2279.191837125914,2006.6301997078738,9
2,3,3451.7676802938067,1070.175783038317,9
2,4,4020.0222751530405,1890.0822629739757,9
2,5,8187.447343675605,4363.728479802835,9
2,6,1116.5597076879994,798.2725033852186,9
2,7,6791.361285143367,3709.055490478781,9
2,8,3827.5607370665966,2084.9265035177996,9
2,9,12449.22466971659,5226.134197463362,9
2,10,4035.0656878368764,3278.119599547782,9
2,11,3629.3692931876685,2316.066062683974,9
2,12,2483.9884910379083,562.1141759741256,9
2,13,3358.612817523577,1538.1304505492092,9
2,14,5066.269412536527,2647.4047134544003,9
2,16,35872.572284965376,9634.43156463422,9
2,17,1990.80224733806,858.3756757064905,9
2,18,9932.230591332658,3539.335144442901,9
2,19,762.8497584275489,471.96878553387165,9
2,20,537.5144038323989,373.8287539814038,9
2,21,448.4963811299341,477.0618127615597,9
2,22,4503.241648231296,3269.6856538124134,9
2,23,4556.4072381481365,1249.714447058305,9
2,24,1564.1269816688045,816.7714082132326,9
2,25,1545.615695269375,1215.7378528949612,9
2,26,676.2345152498126,623.2273845978259,9
2,27,1183.4354218672693,439.6388084971195,9
2,28,221.0528240938614,113.86686304057635,9
2,29,2122.1092013805273,896.7304196095763,9
2,30,622.052632454468,590.9516163054346,9
2,31,1142.4138700813537,524.249374654272,9
2,32,3837.714267577661,1675.9072927561451,9
2,33,1091.507929001455,586.6606521589456,9
2,34,2655.1032400379218,1339.1693218105147,9
2,35,1230.4731312506506,485.3831825415293,9
2,36,652.2947442590981,464.17590537370614,9
2,37,570.2178075482888,572.7669078391335,9
2,38,6868.1274383716045,5040.819732808344,9
2,40,4568.328484427438,2714.649363456976,9
2,41,784.118155905122,546.1581419826796,9
2,42,1130.5073908879162,876.0107376740459,9
2,44,723.2474578477327,393.26326950444076,9
2,45,25.120004640870864,7.481454459331951,8
2,46,1232.0631938423078,891.9137218801928,9
2,48,834.4131134922995,453.35401077508607,9
2,49,3305.8510167921813,2860.733046443145,9
2,52,425.18436627580945,473.5806501801031,9
2,54,14.235081027449441,13.26766268227546,7
2,55,4439.395958426629,2189.962090410132,9
2,56,12857.529273291215,4004.6883369928305,9
2,58,3093.7739584086207,2519.6338136585355,9
2,59,1655.336978762601,499.2102238466661,9
2,60,43.214071111221024,37.31455729833608,9
2,67,2929.1253772030655,1592.0503436652073,9
2,71,1188.277709662023,1234.5241115013455,9
2,72,25730.20750918445,13615.792002230239,9
2,74,3264.1715864052157,1758.6846680378628,9
2,79,3311.8065107799857,3426.181049736785,9
2,80,808.4029460830817,559.8471874658417,9
2,81,1258.8930227768587,1105.355483959679,9
2,82,4684.27776572997,2037.8147310781826,9
2,83,436.22274862542804,218.97745908917327,9
2,85,473.30858382368365,276.73158492062873,9
2,87,2390.955743795271,911.8813320564736,9
2,90,7648.0682338645875,3648.4874045484653,9
2,91,4585.356378578907,4107.15492578012,9
2,92,17602.218505187993,10540.966624777202,9
2,93,4025.204403963475,3192.3164641657913,9
2,94,4895.152946072021,3721.4159747555673,9
2,95,4323.7018475682435,3140.3563868929505,9
2,96,1154.435565008841,936.9418204434172,9
2,97,1957.7267492711026,1813.5849785097407,9
2,98,736.5269553968315,390.24691093081464,9
2,99,141.1362700307563,186.30523113727224,2
3,1,2063.8474996358627,2173.849604161432,9
3,2,1188.1850353014906,872.0809993440663,9
3,3,1118.2648993730031,548.1751176691864,9
3,4,1047.954376321498,624.654264652543,9
3,5,3773.891398901933,1722.6772400875288,9
3,6,745.0145664552659,418.4048645310787,9
3,7,2020.3407672807314,953.6446931605451,9
3,8,453.54762349453875,376.16489671409045,9
3,9,792.9990051602697,428.8901171977023,9
3,10,752.0786803030013,512.1879999976632,9
3,11,3209.296033181652,2331.4674422809644,9
3,12,925.962378673467,360.27904162607405,9
3,13,898.5161785022106,496.14397241728335,9
3,14,819.1530757459784,669.0230549184631,9
3,16,10207.897291772737,1452.297809511951,9
3,17,422.98751089642644,268.02765261430807,9
3,18,2002.5740118853582,388.1540215645909,9
3,19,778.7345452934997,201.4083923661495,9
3,20,303.7761962093939,228.1820593326605,9
3,21,109.34933833298359,80.81030557984667,9
3,22,1191.0167603646978,656.8004986493597,9
3,23,737.0041327505908,622.9077784047723,9
3,24,388.69074751867475,275.04075897499433,9
3,25,1212.402947365682,478.2078984557211,9
3,26,566.6439772577615,292.04128491568093,9
3,27,403.42359432903334,113.16280057977836,9
3,28,113.9129902141227,44.393909650424085,9
3,29,576.4373784999726,194.02550552033733,9
3,30,483.0396571304804,195.71520752976278,9
3,31,228.94451195343788,150.6494995014048,9
3,32,1868.5542534684423,684.9861628668759,9
3,33,259.25991403178006,211.932535767092,9
3,34,362.242623433511,378.0341229050874,9
3,35,213.64895150660072,131.87136208560077,9
3,36,321.0497772713284,160.824248226563,9
3,38,14123.732863936115,7045.610822069691,9
3,40,2591.8830029193155,1202.9238715780323,9
3,41,415.61865040017096,208.12502731090564,9
3,42,624.6239666312578,565.9551093675495,9
3,44,336.06417351509384,282.0946408531102,9
3,46,706.751729143034,490.47047328219566,9
3,51,3.109856648711726,2.267860944388178,7
3,52,172.22007690412678,126.66054884055342,9
3,54,33.913003287166966,33.64471437684801,5
3,55,1098.2252908505188,917.083472073943,9
3,56,4190.705202899763,799.0091632929713,9
3,59,308.6412888111477,67.99172234924436,9
3,60,29.859875009011628,15.392211315280438,9
3,67,229.15877320309153,160.83933261153328,9
3,71,249.99747163378683,167.5975764817691,9
3,72,6270.824579347918,3262.445532583515,9
3,74,330.20033699988034,220.03426329433321,9
3,77,19.920073776247605,,1
3,79,815.7619258735764,543.8056109048465,9
3,81,304.1399556050576,116.89179199366373,9
3,82,1467.862277896138,686.1559359651809,9
3,85,117.44382528277129,59.175339176962005,9
3,87,219.34464213525297,248.65313834443063,9
3,90,135.6812892920505,173.06093027995595,9
3,91,125.85753109937679,96.55008753890282,9
3,92,1074.8968738435262,736.8346747502077,9
3,94,1317.3419069242568,,1
3,95,2735.550988174979,1284.0926030251987,9
3,96,826.9913334167808,683.6457016209014,9
3,97,142.1258888169864,155.6154544380485,9
3,98,2.346666666708238,,1
4,1,10833.715877028786,12641.585674645941,9
4,2,5553.391410654153,2475.5594128271264,9
4,3,5092.0707636103925,1092.9742335691408,9
4,4,3346.0146397428334,1846.6862549285706,9
4,5,12419.3165550286,5045.881675090096,9
4,6,1991.8178640170574,1151.3416302729916,9
4,7,5469.2964813521085,3952.9251757207944,9
4,8,4746.330593911776,2767.6132135959515,9
4,9,8007.307812668647,3460.904084790077,9
4,10,3349.015857256434,3362.601948685089,9
4,11,4250.284915639035,2959.813046029132,9
4,12,2969.45348059502,966.7929633288932,9
4,13,2720.612690366495,1359.6586734802224,9
4,14,4353.657835204529,1981.5191174172328,9
4,16,28452.21618565223,8148.274578054353,9
4,17,1608.640140150067,992.6262571050388,9
4,18,11219.038037618615,2720.9987962879904,9
4,19,741.9367222264905,500.3272224401741,9
4,20,1068.560860228934,940.3099839076004,9
4,21,527.087355605048,474.8543883145291,9
4,22,4051.789645060327,2896.3466489456005,9
4,23,3657.5590297554104,3285.653107691981,9
4,24,1034.9585193206613,632.6250844441007,9
4,25,3012.3446682622607,1592.454509061496,9
4,26,2280.4124986381794,1079.7592555239976,9
4,27,1555.6863094762227,575.6299600182408,9
4,28,211.4312937496023,110.66946385397348,9
4,29,2665.3578066305317,582.7201242798036,9
4,30,677.5996681958667,562.6171923003486,9
4,31,1220.8007678967751,547.9063835181753,9
4,32,5171.599756384884,1781.2493081363198,9
4,33,1276.4582541774037,606.7697757202687,9
4,34,4031.500726336547,3024.9962862423345,9
4,35,1160.2055872016183,631.7516569785744,9
4,36,928.9484845791796,698.9065880527045,9
4,37,560.8690174411861,286.50139171333524,9
4,38,6226.925896898824,5037.080147016305,9
4,40,6319.366580286626,4531.91658678981,9
4,41,169.27120692425675,124.0655349986905,9
4,42,458.7990271469564,442.1123363855135,9
4,44,446.02198977007976,336.5993652721779,9
4,45,3.125502853549704,0.2705850054914725,7
4,46,2193.2655443541016,1651.7706572428135,9
4,48,726.4754600565193,532.873914669387,9
4,49,1058.1379493530912,894.3181201089069,9
4,52,470.4893288792925,360.4509201454316,9
4,54,48.20339726946387,36.513495388492146,9
4,55,3434.8246201002044,2355.2787089475473,9
4,56,14797.805762654303,5313.387517702236,9
4,58,2648.908692132048,1938.4195804494295,9
4,59,1961.4412506421488,624.8862098384254,9
