feature,coefficient,importance,relative_importance
Store_19 Dept_55,-253.27974656667115,253.27974656667115,1.1182183916770193e-05
Store_30 Dept_24,249.7054754067626,249.7054754067626,1.1024381494664624e-05
Store_32 Dept_98,247.87880165999204,247.87880165999204,1.0943734691794632e-05
Store_2 Dept_16,-242.1121648986818,242.1121648986818,1.0689140340211905e-05
Store_38 Dept_94,-240.41291328359858,240.41291328359858,1.0614119165647804e-05
Store_25 Dept_48,238.33689844300494,238.33689844300494,1.0522464068561896e-05
Store_18 Dept_67,-236.1104847540354,236.1104847540354,1.0424168931732554e-05
WeekOfYear_14,234.59300697375357,234.59300697375357,1.035717298808233e-05
Store_33 Dept_22,232.55101780057612,232.55101780057612,1.0267020108509255e-05
Store_26 Dept_47,-229.40231320793092,229.40231320793092,1.0128006253940078e-05
Store_33 Dept_71,227.80001216780155,227.80001216780155,1.0057265402515376e-05
Store_43 Dept_22,-225.72849814771985,225.72849814771985,9.965809014577844e-06
Store_38 Dept_87,225.4820629788169,225.4820629788169,9.954929015606006e-06
Store_37 Dept_32,224.38679428290925,224.38679428290925,9.906573408172164e-06
Store_22 Dept_99,-224.2900278604825,224.2900278604825,9.902301215281846e-06
WeekOfYear_34,-223.95647579559656,223.95647579559656,9.887575045558712e-06
Store_18 Dept_6,220.70761255672932,220.70761255672932,9.74413923298424e-06
WeekOfYear_33,214.41430888832605,214.41430888832605,9.466292780521663e-06
Store_17 Dept_77,-211.38671463254113,211.38671463254113,9.332625891429794e-06
Store_40 Dept_78,-210.47380706362577,210.47380706362577,9.292321443589011e-06
Store_32 Dept_58,-209.02316409150433,209.02316409150433,9.228276225873342e-06
WeekOfYear_10,-208.05725005290628,208.05725005290628,9.185631566859714e-06
Store_35 Dept_87,199.8347641173574,199.8347641173574,8.822612607662512e-06
Store_1 Dept_49,-199.72868570496954,199.72868570496954,8.817929294713098e-06
Store_35 Dept_47,-198.54370991935224,198.54370991935224,8.765613160670365e-06
Store_26 Dept_48,198.51221842814158,198.51221842814158,8.764222825867425e-06
Store_5 Dept_98,197.6310815929316,197.6310815929316,8.725321041256845e-06
Store_26 Dept_78,-197.41383083193008,197.41383083193008,8.715729520424611e-06
Store_23 Dept_18,-196.35090692367743,196.35090692367743,8.668801920437912e-06
Store_35 Dept_28,-195.72222320329004,195.72222320329004,8.641045824334111e-06
Store_41 Dept_45,194.6151904696795,194.6151904696795,8.59217084006505e-06
WeekOfYear_45,-191.74131704981156,191.74131704981156,8.465290654933384e-06
Store_18 Dept_4,191.59422739044132,191.59422739044132,8.458796714357286e-06
WeekOfYear_35,186.09199632755062,186.09199632755062,8.215875752330763e-06
Store_11 Dept_10,-185.12591508953662,185.12591508953662,8.173223711540088e-06
Store_18 Dept_45,184.97728556308138,184.97728556308138,8.16666178654287e-06
Store_39 Dept_14,180.91725755146774,180.91725755146774,7.987413423621944e-06
Store_34 Dept_82,180.10398953744354,180.10398953744354,7.951508016143769e-06
Store_40 Dept_49,-178.7131795983215,178.7131795983215,7.890104399220769e-06
Store_37 Dept_71,-177.11320990155596,177.11320990155596,7.819466475529615e-06
Store_32 Dept_7,-174.61453759295082,174.61453759295082,7.709151246296674e-06
Store_28 Dept_37,-173.80755742863766,173.80755742863766,7.673523444481262e-06
Store_29 Dept_98,171.34096092339362,171.34096092339362,7.564624347163029e-06
Store_12 Dept_42,170.99397450320626,170.99397450320626,7.549305056853587e-06
Store_12 Dept_47,-170.90817421602304,170.90817421602304,7.545517013773159e-06
Store_19 Dept_48,-167.23755135153257,167.23755135153257,7.383460708378721e-06
Store_39 Dept_8,-165.9154382351799,165.9154382351799,7.325090024475899e-06
Store_37 Dept_26,162.66909068814903,162.66909068814903,7.181765278534955e-06
Store_29 Dept_16,161.33072090827667,161.33072090827667,7.122676870440547e-06
Store_36 Dept_29,157.03931104064125,157.03931104064125,6.933213105364053e-06
Store_32 Dept_48,156.70851435441307,156.70851435441307,6.918608584336991e-06
Store_16 Dept_1,-155.98526974574537,155.98526974574537,6.886677668657534e-06
Store_5 Dept_78,155.5246762027936,155.5246762027936,6.8663426763102165e-06
Store_8 Dept_20,155.08420329980459,155.08420329980459,6.846896000931141e-06
Store_26 Dept_29,-153.80166773769037,153.80166773769037,6.79027264778204e-06
Store_38 Dept_27,152.18199517923762,152.18199517923762,6.718764851840698e-06
Store_25 Dept_82,-150.00807785336482,150.00807785336482,6.622787405213856e-06
Store_42 Dept_71,149.42847831834845,149.42847831834845,6.597198353240758e-06
Store_16 Dept_98,-143.6591400928601,143.6591400928601,6.342484733261352e-06
Store_5 Dept_1,141.0576120762215,141.0576120762215,6.227628471988895e-06
Store_45 Dept_78,-138.32220879182896,138.32220879182896,6.106861679431469e-06
Store_18 Dept_54,138.01319886929667,138.01319886929667,6.093219033966513e-06
Store_11 Dept_50,-136.89014198513183,136.89014198513183,6.043636590845976e-06
Store_17 Dept_78,-136.13121738227,136.13121738227,6.010130419889946e-06
WeekOfYear_6,136.10100303934905,136.10100303934905,6.008796470594567e-06
Store_42 Dept_41,135.82768345200972,135.82768345200972,5.9967295369565095e-06
Store_32 Dept_51,-135.3675578454183,135.3675578454183,5.97641520378354e-06
Store_21 Dept_78,-132.98158563763914,132.98158563763914,5.871075631988502e-06
Store_40 Dept_19,127.20715842276456,127.20715842276456,5.616137335476374e-06
Store_29 Dept_78,127.11111646702652,127.11111646702652,5.611897127456004e-06
Store_41 Dept_1,-124.40080918483238,124.40080918483238,5.492238311813283e-06
Store_44 Dept_99,120.61393405053242,120.61393405053242,5.3250495223597244e-06
Store_9 Dept_74,-120.41496699252446,120.41496699252446,5.316265218576326e-06
Store_30 Dept_55,-118.78377827243062,118.78377827243062,5.244248989413491e-06
Store_15 Dept_78,114.92523966834696,114.92523966834696,5.073896290843242e-06
Store_41 Dept_48,114.24417304443921,114.24417304443921,5.043827513724873e-06
Store_40 Dept_60,113.67013607911709,113.67013607911709,5.0184840466365286e-06
Store_45 Dept_47,112.49582237287589,112.49582237287589,4.9666386384774655e-06
Store_11 Dept_30,-111.73308850368512,111.73308850368512,4.9329642901710734e-06
Store_9 Dept_9,110.59308612265673,110.59308612265673,4.882633711184727e-06
Store_24 Dept_50,-110.37490053840192,110.37490053840192,4.873000918337302e-06
Store_43 Dept_20,106.12057221566295,106.12057221566295,4.685174286354041e-06
Store_6 Dept_49,105.0061876896287,105.0061876896287,4.635974723842486e-06
Store_3 Dept_98,-98.38683710344759,98.38683710344759,4.34373345043781e-06
Store_34 Dept_32,-95.64202646526915,95.64202646526915,4.222551327552436e-06
Store_34 Dept_90,95.47791894752324,95.47791894752324,4.215306056383166e-06
