Feature,Weight
and,0.062381004277151555
paranoia,-0.04709055035635221
times,0.04682115093905009
movie,-0.03298409378498514
but,0.030930061195906793
is,-0.03069469285235144
Urich,-0.026998188836152015
Look,-0.026955813141033066
Michael,0.026498180460881576
few,-0.023308332032859678
sizzles,0.023193862413856105
out,0.02225068277781519
not,-0.021945502213933293
who,0.02155484954911357
as,-0.021325132304723306
in,0.020053789482018004
the,0.019698626922679093
well,0.019177439890857212
husband,-0.01811378544176219
bitchy,-0.01766410616141179
Strange,-0.016581429093217758
have,0.016525717765461218
there,0.015570553641394149
housewife,-0.014668990425019159
members,0.014203040529249521
computer,-0.013928210832246487
turning,0.013866061293637726
Berryman,0.01318310617035271
seen,0.012743079616855823
captures,0.012334416842640602
