Word,Average_Impact
i,0.016353271403202047
have,0.010703775818757236
seen,0.012339454510231596
this,0.006869324533154609
movie,0.002944972867351995
quite,-0.0003901417214976055
a,0.0014513497981648174
few,7.609292004781548e-05
times,0.00742751179507126
the,0.0039777677992842335
father,0.002268139707414653
is,0.0021618478068603187
not,-0.00035744302727338867
joiner,0.0019273558016118784
but,0.010272053160972686
pressure,0.003536124305656185
on,0.0023163742779645207
him,0.0011329032335489803
to,0.0004502898209993245
join,0.0009454536192542776
as,2.121838436835329e-05
everyone,0.003689984161597497
who,0.004117309366283366
anything,0.0032997255077323396
in,0.002403952696580519
neighborhood,0.00557646991857933
and,0.018910038698542877
at,0.004680877666332188
work,0.002037180180878088
are,0.0011518612432985023
members,0.0013994018600068773
everything,0.002495414129909708
idyllic,0.005308964862026461
suburbia,0.0015559155032778698
when,0.0017631187214042054
little,0.002215152476627608
family,0.001979725523718123
moves,0.001499587313166926
got,0.0032212825263990144
new,0.0026996299018940723
job,0.002030198526319462
computer,0.002248254321952975
company,0.0024500357360573155
there,0.0017985557113358013
suspenseful,0.00022980390554589396
chiller,0.0025348693894649307
with,0.0018566294737735127
bitchy,-0.0018479749020246094
susan,7.324153418802647e-05
lucci,0.002354555112957954
club,0.0015053047846574517
chairperson,0.002656964801099013
captures,0.00043308804803180096
sense,0.0007220005253846329
of,0.005052173245648899
paranoia,-0.0006843852441689683
special,0.005681225379984138
effects,-0.0006850453989980812
final,-0.0002889076764731524
worth,0.010110415448882878
waiting,0.005449690679078937
for,0.0024510980434693463
strange,-0.0012330834375619262
things,-0.0013650771470875467
happens,-0.0006343431089168545
joins,0.0017620537749036258
local,0.0008818987487791335
country,0.00030809477773451977
without,0.0013310585255091412
husband,0.00045168192648732664
it,0.0013546942909918452
certainly,0.0032306953343836805
holds,0.0011699243106031976
secrets,-9.162030163014368e-05
look,-0.001521999506727029
out,0.008552546749372256
cult,0.005166626909870695
favorite,0.006840408989871802
michael,0.009389320983293349
berryman,0.0046511487647735664
bit,0.0016796229494768285
part,-0.0012060417158970113
valet,-0.0010601969327451483
no,0.003118306777877702
paradise,0.0036783262148522185
would,0.0023777888937130827
be,0.00200318328288063
complete,0.0009614488292528668
its,0.002106733298186605
snake,0.0018906390217204958
robert,-0.00011755847827284012
urich,-0.0008133693630127293
good,0.0007802354992609949
guy,9.390532449552076e-07
tepid,0.001573544821793681
joanna,0.0016151482759662408
cassidy,0.003246990353296962
natured,0.0009306596399119745
housewife,0.0011093812940440304
turning,0.002274446649628532
nasty,0.0005188137106105909
sizzles,0.002829932655874167
