Word,Average_Impact
johnson,-0.03724633725586744
has,-0.0756322339958589
his,-0.033291614741041975
friend,-0.03252491081084217
angela,-0.0261977505265359
oakhurts,-0.019506529421617836
liv,-0.018663960268947368
tyler,-0.02555830731495472
a,-0.015093581898360776
psychiatrist,-0.02833888064778911
to,-0.015715718570022748
try,-0.04441360626553539
and,-0.01968760393752245
bring,-0.04183977211154544
charlie,-0.020040922188656503
out,-0.016445113651022063
of,-0.015284281103641894
grief,-0.0388358330628645
but,-0.015734363846315727
it,-0.026296552810444733
is,-0.025006912941885933
alan,-0.027091074576273307
that,-0.034534668947449866
accomplishes,-0.0613381625828579
in,-0.014346405557346426
getting,-0.041554574854252374
emerge,-0.03301792270834009
from,-0.023647115128183904
deep,-0.027172140824299744
darkness,-0.02489880562575678
writer,-0.04197174551044454
director,-0.019864016154142114
mike,-0.019950377187382913
binder,-0.0527682522114669
plays,-0.0622101335369098
the,-0.008494004390826664
role,-0.028299913642050138
outstanding,-0.00012942151565423568
soundtrack,-0.01026647463804722
featuring,-0.03056575931079985
likes,-0.004796246046126591
bruce,-0.006766075056053961
springsteen,-0.023901021197729057
graham,-0.014156600636130612
nash,-0.011920429082018678
pear,0.006090219221757488
jam,-0.006288957910589879
br,-0.017035129842360466
note,-0.01542924269539675
i,0.02811040318273041
have,0.0221904851897238
never,-0.005130835417910849
been,0.013803632369462844
sandler,-0.004005667713199794
fan,0.026336203697675597
found,-0.006276640882574897
him,-0.014872661594078521
this,-0.007041085848628217
former,-0.051082852763658426
roommates,-0.09059751449726798
rekindle,-0.09501017173317765
their,-0.05779031800200639
friendship,-0.057931778276101395
strengthen,-0.028156364189669304
bond,-0.03240165369306374
he,0.008388214471969687
notices,-0.004222094664825343
college,-0.06477710222696706
roommate,-0.07006518445009347
fineman,-0.02174909573376882
adam,-0.015965448612388976
wants,-0.010790027389515155
touch,-0.022813727973965293
base,-0.014925422262992066
powerfully,-0.07869921925460462
wonderful,-0.061184014909402874
movie,-0.05026299123636877
you,-0.03217611182501813
are,-0.05005231742787748
held,-0.05441377297592287
once,-0.03152405048108955
let,-0.047728489767019905
yourself,-0.05353502747715662
get,-0.05274907270305225
involved,-0.04878195253483302
with,-0.03719573069238004
story,-0.021130580669351456
successful,-0.028992134056299128
dentist,-0.017598040438010304
don,-0.02321261487391737
cheadle,-0.008630650948234272
torn,-0.034245181216698624
life,-0.029192438719735474
crisis,-0.023004534804255582
balancing,-0.03262104778382206
career,-0.05529351123710138
family,-0.03868542501234235
finds,-0.025527443273007034
who,-0.02088297915989106
lost,-0.003469196987561529
wife,-0.03956114635071278
attack,-0.021989474557088173
on,-0.01690565346708932
america,-0.033300743457932415
no,-0.038203158579197545
longer,-0.019457525931252384
reality,-0.018770872387343835
choosing,-0.0069458424659379295
involve,-0.04127972332670393
mind,-0.02842944577653808
favorite,-0.024841097975389085
music,-0.01749719752117078
past,-0.035308841579451467
video,-0.06242235718696047
games,-0.03758896613991708
jada,-0.05053190920570942
pinkett,-0.07314149032175352
smith,-0.07128964651436205
also,-0.022982843392184645
cast,-0.043427322694338064
saffron,-0.026445193615012758
burrows,-0.009937996515612838
donald,-0.01332185800275933
sutherland,-0.00919544343680813
adell,-0.04470367694717252
modell,-0.05549493360003147
robert,-0.03582402639649433
klein,-0.02389300133223029
some,0.014923530378069167
scenes,0.001833651335110792
thought,0.030081848631907993
loud,-4.8586584837925774e-05
why,-0.021023405033686285
approached,-0.04823458253286261
play,-0.00360918459137127
bob,-0.004122442576944945
dylan,-0.004126096008900358
biopic,-0.08575266803774688
