Feature,Weight
and,0.1412609210323597
I,0.12736660914966824
never,-0.10523894649499697
plays,-0.09580415916567346
the,0.06691615231608715
him,0.06336955993007548
outstanding,0.06106467758684544
video,-0.05763944252269419
of,0.05708695661246848
a,-0.05302156263827733
get,-0.05099992329219892
Donald,-0.04983574927615295
The,0.04889763704320505
He,0.04833169925672039
has,-0.046239635436571204
biopic,-0.04546457559661818
cast,-0.04514652315327461
NOTE,-0.0443987998275159
thought,0.04368534444890151
singer,-0.04345278742558058
is,-0.04096750384553629
Writer,-0.038263878958657696
some,0.03472629845219724
from,0.034300089862156415
try,-0.02840276485235761
bond,0.027100647250002396
guardian,0.026200514888777067
college,-0.026149143209463592
in,0.022158827834868996
11,0.021407533949681288
