Feature,Weight
incompetence,-0.11634956765386563
budget,-0.1055427699287318
s,0.06808700632069531
Reshamiya,0.06497157707150746
Songs,0.06489233624093485
Cr,-0.062092090082591964
movie,-0.061841932761114195
it,0.05981223566614118
villain,-0.05801036799686502
Blunders,-0.05628271368989788
intense,0.05563627921552609
a,-0.05450702856887986
instead,-0.05342402227869932
shaved,-0.05184852158304756
after,0.05168168634652639
Please,-0.05145797970577368
he,0.04749447927851275
emotional,0.04741256842399545
Unfortunately,-0.04692867840615479
this,-0.04610207160655135
of,-0.046083939264727036
care,-0.04588095465534476
banal,-0.04249251133866747
issue,-0.04246060523160018
bad,-0.03876506441221428
truly,0.038167132157298056
Bollywood,0.037762790714630685
No,0.036373019844630566
become,0.035940812371883256
only,-0.028259758393847572
