fold,num_train_samples,num_test_samples,weighted_mae
fold_1,164115,26559,14632.680922625199
fold_10,397841,23729,15055.145687144184
fold_2,190674,23543,14859.54753257374
fold_3,214217,26386,15038.319001486469
fold_4,240603,26581,14815.747387825075
fold_5,267184,26948,17020.23708639132
fold_6,294132,23796,15228.002872665294
fold_7,317928,26739,14983.012019464379
fold_8,344667,26575,15181.696868553512
fold_9,371242,26599,15180.040983280518
