Store,Dept,Mean_Error,Std_Error,Sample_Count
1,1,2529.89567354826,1650.4514726436007,8
1,2,2921.7431513561614,1797.3259538261093,8
1,3,4857.9872925596965,2525.578502020633,8
1,4,2993.554089517158,1624.5798592575622,8
1,5,5495.7772141119085,2851.717103151706,8
1,6,1642.5094833484063,449.92586415812207,8
1,7,10391.888341937456,2143.554175131707,8
1,8,1678.5063149557454,1842.4047523688766,8
1,9,5232.014912977078,3650.4204711039315,8
1,10,3018.7957075315726,1790.6549463737958,8
1,11,7756.211315226256,2614.1198692505805,8
1,12,947.0183701942399,694.4155642151815,8
1,13,1750.0366681716087,1864.5775052364754,8
1,14,5245.857392603662,1299.6287810374617,8
1,16,5737.348502934851,2602.3613810602515,8
1,17,822.5020470452574,356.57211645707565,8
1,18,6234.686930190571,3003.554292242232,8
1,19,365.9230491578286,200.50897079452977,8
1,20,643.9256947238217,428.1893571079465,8
1,21,371.9232251669765,286.84521991837244,8
1,22,937.9954538588078,922.179884798182,8
1,23,6199.801219925634,2538.64133219241,8
1,24,1349.7657767496412,882.3152586681348,8
1,25,1668.3642270628425,707.0448913791972,8
1,26,1832.6987196762407,2169.8075295355015,8
1,27,351.281167363348,261.67983922591696,8
1,28,144.80564608389722,124.9277381621273,8
1,29,821.7380429159011,326.37925328263435,8
1,30,307.94720135091666,251.3727662064659,8
1,31,1260.5788699005234,289.50273070128196,8
1,32,2886.89224685505,891.714257703548,8
1,33,1351.7723967676477,774.9427441858099,8
1,34,2143.59455249494,788.5759821516812,8
1,35,785.8172035258115,270.20212514321827,8
1,36,1186.1826507209794,457.78241742107355,8
1,37,154.74073543581193,97.60896441448422,8
1,38,5529.781732034391,5053.969795434138,8
1,40,2270.4830103706927,2222.220496182949,8
1,41,338.2994350321638,299.957651506539,8
1,42,464.7792322780273,368.75057390573005,8
1,44,549.1830346808555,713.7260754413787,8
1,45,11.679684665329784,14.62035730539948,5
1,46,3911.468224908028,1097.1301492601317,8
1,47,201.56461000601075,,1
1,48,776.1723102608617,571.0133429308609,8
1,49,1090.9960295697551,525.4193260200366,8
1,52,243.87638786504758,177.33254391138667,8
1,54,67.10116520318088,31.30789890009724,7
1,55,3289.9183993551915,1503.7023409095395,8
1,56,375.23348543992813,271.3972369970412,8
1,58,2501.012513946624,1462.1532243487404,8
1,59,750.0117633902563,104.61876336812274,8
1,60,137.03918186513275,117.51638048426943,8
1,67,348.840742386673,488.3910413377181,8
1,71,1091.9960156082627,409.7143432195361,8
1,72,9047.409100658893,4892.90139635133,8
1,74,2035.251841760517,1306.8632973368158,8
1,79,5961.928560516084,5135.714170084526,8
1,80,1226.684646058212,772.5076917652761,8
1,81,1062.640451017171,888.5992017805909,8
1,82,3658.1345671130953,1105.8896531400749,8
1,83,732.3065886229365,606.0184734293799,8
1,85,568.5724091560492,258.7241802317555,8
1,87,8115.931961241035,4029.792646466635,8
1,90,5410.493825592241,3900.664856419323,8
1,91,5542.389132910307,3931.8792698119223,8
1,92,11035.760550863572,7866.432588445954,8
1,93,7710.93257815429,5846.918558666878,8
1,94,2206.4315090381588,2488.1393268120582,8
1,95,6603.551284985744,5053.482517629287,8
1,96,4864.6411030924555,2344.216566847597,8
1,97,3093.810254138796,1707.3359048082787,8
1,98,864.2982556918562,712.2856319635789,8
1,99,327.43383428104704,72.4125654851131,4
2,1,4581.114580245474,3426.8787177967993,8
2,2,2576.3415220143734,2100.913527285768,8
2,3,9746.91335461665,3877.680318348214,8
2,4,2510.8500975126135,1548.7474615139631,8
2,5,7048.900988651602,3595.3321078014487,8
2,6,1001.9046963400516,633.304841012057,8
2,7,20821.996056441832,4407.217209286684,8
2,8,3131.8140233985214,2447.1074524705477,8
2,9,3335.7703615113514,1443.109883418194,8
2,10,2211.244033204971,1347.992035431668,8
2,11,5700.427811130647,2206.1404564544546,8
2,12,401.66333367597065,242.02397052031068,8
2,13,2972.1823674582965,2008.8327683269033,8
2,14,6686.639199578079,1928.8276337794691,8
2,16,10286.255061808664,3871.732665676381,8
2,17,2155.7066822377215,879.2759724601578,8
2,18,7887.297778077824,5626.765301005187,8
2,19,476.4227431272744,220.9533618931607,8
2,20,909.7934049729156,476.9464061188113,8
2,21,596.496707454754,345.2630099225543,8
2,22,1479.1756093794506,1043.226723471104,8
2,23,10705.704767515492,3744.206639893209,8
2,24,3092.8889359476852,1396.6150368068566,8
2,25,2009.0172752064243,701.442914670379,8
2,26,1496.2723013624109,1285.1032802762343,8
2,27,378.09752296097685,328.97767274003144,8
2,28,193.39028332619137,154.8447282462496,8
2,29,1413.380209363388,345.4838190819578,8
2,30,425.35171335107134,214.95626366075962,8
2,31,1725.5818133998043,639.7427588082043,8
2,32,3196.2383017918332,1066.3520812742886,8
2,33,3488.0828592117014,1283.828358782281,8
2,34,1995.5366213972509,1259.9439812893236,8
2,35,1425.0332851021867,602.7477581643861,8
2,36,1688.5567609981408,422.85558366173495,8
2,37,461.31307893765694,485.3107047510998,8
2,38,3326.5575322270215,3127.283099534661,8
2,40,5715.124041089366,1713.1601795708327,8
2,41,420.41586468389664,518.2600167071154,8
2,42,367.6568716533154,253.40527304144948,8
2,44,1959.1276701662564,1185.903720610565,8
2,45,6.497034993010575,7.217873246057309,2
2,46,6340.634723207052,1270.8407562012467,8
2,48,1441.8605067023555,1353.9638607316524,8
2,49,1892.6053605019072,1002.3143013178313,8
2,52,283.0363041572297,205.92912946974317,8
2,54,70.04981592679886,10.025244736822035,7
