Store,Dept,Mean_Error,Std_Error,Sample_Count
1,1,1159.8628225810614,535.4082621794093,8
1,2,1955.7179658913,1507.9193339585697,8
1,3,594.8023431200814,314.15009776274206,8
1,4,1160.8653771907211,1003.6288484534058,8
1,5,2521.856548661208,2097.755658980741,8
1,6,781.5153930363431,462.16775605899505,8
1,7,4527.290616011473,2660.440357456128,8
1,8,2181.357401262626,587.8964286833278,8
1,9,2303.882126456045,1628.1220551468775,8
1,10,1948.8055277736266,1332.5635545009973,8
1,11,4378.567834165022,3955.8112390943393,8
1,12,1357.0864430566091,684.234947087763,8
1,13,1322.7454413414707,828.9692756595567,8
1,14,1111.94525488592,815.0141984034979,8
1,16,5026.791334264077,4467.821080742897,8
1,17,1331.248365859361,820.5319591048524,8
1,18,152.47833333333332,274.9281643205488,6
1,19,191.18760817556762,153.55189866795118,8
1,20,348.4183956414622,279.2635374607111,8
1,21,424.0093733637834,335.1683708179917,8
1,22,471.60202436394513,409.77224266672033,8
1,23,4091.313719319717,2188.2774308687976,8
1,24,1221.6392868779417,515.060363180388,8
1,25,954.9814656536387,484.96129428378777,8
1,26,528.9247100834153,313.052902899593,8
1,27,131.2474925531704,64.89890776433053,8
1,28,117.75453031699934,84.69633928672766,8
1,29,474.5885792021944,257.6991717885701,8
1,30,633.3317925288649,363.3080674499154,8
1,31,315.02402025674576,140.9048321615625,8
1,32,895.2879648299963,569.9667125156592,8
1,33,919.8621661241457,388.43459043887964,8
1,34,1796.4359059086905,725.2723574364098,8
1,35,524.3550031203201,365.1962886867877,8
1,36,542.667715072108,488.830551988349,8
1,37,407.73709993005457,286.45033652892715,8
1,38,12049.479063194321,10020.272254325426,8
1,40,1626.9520490663672,1366.6818310001208,8
1,41,344.83731393502694,259.4058433415814,8
1,42,585.4238985930889,404.6642483543797,8
1,44,343.95419943889726,245.1236091012261,8
1,45,13.564000000000002,5.259199558868251,5
1,46,738.7888229671375,527.6173463557826,8
1,48,259.6751110847905,146.97878019190395,6
1,49,1085.225054185492,969.0135795025826,8
1,52,224.2735201703316,240.0507236001604,8
1,54,30.42626258775362,27.946012061032768,7
1,55,1335.7952975088929,815.1069373383314,8
1,56,1320.6538996717443,847.5640784885702,8
