Store,Dept,Mean_Error,Std_Error,Sample_Count
1,1,919.5157358661256,729.84182321341,9
1,2,1160.3036959644078,755.7763274243808,9
1,3,856.7714148463092,477.89195549314667,9
1,4,1734.6079460392398,1117.3630462473834,9
1,5,1803.3146755446626,1846.680777904929,9
1,6,1090.885703234188,548.5068827584576,9
1,7,2710.3252066789896,2715.2124232771794,9
1,8,2336.6925984278496,1140.3296780408725,9
1,9,1159.8107097189377,839.9939768601679,9
1,10,1539.075697546117,780.0126824120603,9
1,11,5792.7477973728055,4395.5007532264735,9
1,12,1047.408903446263,993.2834082181128,9
1,13,1371.8817992636784,978.4773701347682,9
1,14,1017.7988294100924,1100.7868768959631,9
1,16,3159.454860175313,1496.4315625127042,9
1,17,696.1887017866516,666.6386495976975,9
1,18,98.03451625090379,164.95001355640719,5
1,19,686.5820747148654,258.58722844249075,9
1,20,753.9204295259883,766.0558223897199,9
1,21,584.6983601261312,409.31793100687975,9
1,22,606.1944287026222,363.03431530755256,9
1,23,1383.9191346502448,608.5616677185598,9
1,24,530.6825693578973,441.21762119865525,9
1,25,520.1383168949683,622.1202650282719,9
1,26,575.286245660515,346.5248897211816,9
1,27,121.93392578893629,75.75970416216327,9
1,28,91.5149520275467,67.87206339406926,9
1,29,476.62483810025594,264.5182349981353,9
1,30,488.6484011522113,347.48396156695827,9
1,31,181.4075173498189,171.57871001878812,9
1,32,2070.0982718425034,1687.0090100862994,9
1,33,508.7390407438375,424.1205596661669,9
1,34,1060.5831195052751,994.2046563798604,9
1,35,326.45859654093914,252.2725921626023,9
1,36,722.0535901684478,515.5299728235317,9
1,37,265.9568745024248,218.7182610284437,9
1,38,7549.305371146822,7305.018697074753,9
1,40,802.3978618734812,896.8745457500437,9
1,41,267.95625606620797,221.83011503363818,9
1,42,574.2264715480234,464.72053308808927,9
1,44,512.947080800293,337.82123434431935,9
1,46,757.2813772601969,698.2928743871938,9
1,47,116.0522245652115,,1
1,48,314.4420038047853,252.75563617381383,9
1,49,1220.2019962813113,858.879123011279,9
1,52,691.5010966394688,440.7272121747796,9
1,54,36.43756139273908,24.298215262761666,7
