Store,Dept,Intercept,Year,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17,Week_18,Week_19,Week_20,Week_21,Week_22,Week_23,Week_24,Week_25,Week_26,Week_27,Week_28,Week_29,Week_30,Week_31,Week_32,Week_33,Week_34,Week_35,Week_36,Week_37,Week_38,Week_39,Week_40,Week_41,Week_42,Week_43,Week_44,Week_45,Week_46,Week_47,Week_48,Week_49,Week_50,Week_51,Week_52
12,7,10962011.440246379,-5435.42778926758,-4851.99356826382,-7059.93000194253,-6365.304105031825,-5911.468807351425,-6026.459676903157,-5499.118765105816,-3626.388040748992,-4096.054335209404,-4495.287032106706,-5138.395522336999,-3609.6004714527835,-5458.053845183633,-2245.539561579659,-2162.0471544202683,-4148.184214824717,-1133.3387826237013,-1909.7334351212103,-4871.457357586845,-5443.16566211098,-3687.203603977044,-3721.0200164177613,1128.1490863318888,-369.162545174351,-1544.2470812177069,-1630.8333577805588,-1934.6307261183526,-1559.3053703478363,-4227.11833046337,-4661.641675001782,-5909.580668722374,-5501.991211909054,-6450.864464393471,-6347.6183833161285,-6756.176079556486,-6094.850190658752,-5812.429061522644,-7210.9250431696255,-6976.862625286374,-6806.767605420474,-6954.989114611786,-6879.3039547384,-7430.966719529147,-6347.225639927571,-6659.082302644606,-4485.854926045291,-2645.44458063074,21037.28576965273,6518.087896068089,21134.698906404934,47153.8984174805,117727.72259335546,-2042.2270508078593
12,8,-1148273.7907317383,591.9714382118107,299.27775778941117,-577.8818118245664,-444.9094266958393,-644.908386773842,2113.2660226253056,1668.7115494239654,966.533303529434,1362.199730792088,1889.6887316345976,234.07023924676582,-61.30910839077496,-133.1926747591173,600.0073605579397,258.71347596281095,-52.84703272557957,-217.36461355636047,-603.8232494879161,930.3622265447042,-1190.1813393353466,29.486302813838837,-37.93602777408175,501.67274483531617,-91.92851953535504,-242.0668053801629,-621.5631593970846,305.7223568863765,-1703.8721899357092,-580.1387622173348,-967.4005841283987,-1198.7591611540163,311.42476981740657,-1027.9944013742156,-975.3640421180944,-974.8321106956355,-240.38093625932865,-488.0950261659871,-618.060257503797,-416.17971548625184,-519.1631476879095,-393.17320009713995,-1483.3350083653147,-970.6437180571024,-381.8337656319357,467.63101538902544,501.09528894621974,479.1116489667392,-352.40563693407,881.8596657455806,910.2827521408605,1341.545806916124,4045.9453032675333,-1887.0642343837553
12,9,649510.1805995979,-313.3103576054672,-2118.0069548015754,-2366.729451217913,-1817.7703507570207,-2548.056179159683,-1793.4227745050018,-1496.047765212788,-1012.0376569280003,-1049.8535572617666,-7.899733696270945,849.4216501203622,3086.5973945324167,783.861764643093,1547.263902622796,1922.1843325249147,2444.8338103556043,2852.4459055766397,989.9319872583551,1052.416725066464,1077.3155260053447,1406.2408408272745,3687.946330344529,5128.590568973588,3483.201778429349,2824.7161864953437,3355.650624100295,3793.137135438656,3691.1528074021476,1824.3730603327901,1341.0659619589906,918.4012563669978,876.181950204327,564.7649256721714,-470.5331604249779,-1078.3482525704121,1389.9750907959954,-965.0176127422649,-2689.860759118032,-2480.219099715052,-3445.7601414619303,-1579.1189951260433,-3181.041901617671,-4082.8217975069356,-3496.1346878478907,-2681.837827171874,-2976.5945833736782,-3998.186492924493,575.84626610584,-1844.534236819931,-1546.3927921659417,-905.2361228138883,2192.720824078194,-2028.7757192912675
12,10,142137.19011303745,-61.93206533872256,-1755.5530721395087,-2195.8983492883403,-1936.608416305612,-2026.049650846923,-1320.6236353287784,-1167.2824558152424,39.223843817805616,-50.39370390073933,853.4151560199558,387.60131612765025,849.6663736543642,160.19077117199686,395.20231283189116,253.48969082536425,192.69641798989588,205.3042715692745,-739.6148864053911,-112.38224258093379,-639.9518709785751,110.05945176976229,1145.317107994499,954.3628453004443,1250.2274613795223,1240.8584331489387,1742.8324580513502,2032.1402097922298,1732.867471472909,1314.2190476909304,1522.6907211581981,1067.5051604785228,2148.9308194361665,1654.972763716322,1472.521214313763,1486.193555997043,1118.8404624819227,666.815157937921,121.26515668546013,-119.12668475183825,-94.05359775944655,-201.8792152496665,-914.41752928934,-876.1252724605806,-1294.8326467229315,-1286.4173640074416,-1551.8184172360704,-1970.7027635129293,-166.6644287975416,-1352.2496981488896,-1696.5398970896308,-1332.9709334655195,448.65295439349575,-1765.9058751256548
12,11,207249.29002806405,-94.31539172497556,916.8244106335669,-752.0974273416508,-1944.2432940036886,-2538.252789833201,-287.70235590273234,-1767.71940646161,-1051.620914864501,-1410.6099819290546,-722.9264291237733,-1012.9484642394539,284.59941933408055,-1525.806079713515,-165.62023415788602,817.1935867222464,-443.0702088675102,1179.3675825903103,375.87132044630704,1412.6706058232608,-334.3687325021762,417.46651285911923,266.3353172713181,3338.8471703886094,2767.3679242840894,1914.697789696132,2723.269236537408,3594.077284801787,2441.3482472122987,2333.865420908803,332.3704229459068,217.68113909280046,1193.7514807457844,237.04247123547378,1681.755761373394,713.0192413598737,-349.2921785596415,-1558.7301336716234,-1855.30566566655,-2367.3744995940324,-2569.1289164468644,-2114.002678883076,-2611.4201992473522,-2876.391554602716,-2446.026083746268,-2257.2954432006613,-673.7684544822448,-902.0101272439341,2360.7567619985825,4549.885220505263,1074.8741821851813,-74.08578985785675,207.43701931059633,-740.5574861185607
12,12,356076.8328782512,-174.67624364881223,-615.701253338799,-628.8231673947967,-329.6289883628899,-154.56866380614633,17.10727921942702,-38.13986493709645,449.30996357059865,639.5389433314073,691.1252772531881,324.6740750222928,698.4738406287726,436.72175541444415,784.6705356283162,645.5826880989152,318.8141799179469,544.4517188722965,234.17241260973768,607.9584045229601,-19.349428141472668,300.353963924346,415.2813432931465,457.65139995957315,291.0831229291173,322.96429570811694,-148.68899454897152,75.361855477189,286.0380978113857,-82.51076850556254,-280.34269347209255,-70.60157479468168,-47.73869538235133,-26.182114934770397,-125.16102492200584,-389.40552885309694,-199.1177459707823,-251.46032963776503,-368.134992917692,-311.3885544388279,-349.2899821841212,-245.9740477241394,-92.09038031824318,-161.4329672519257,-68.47128102511483,-222.0624364511223,-100.86688440501575,27.26583434038554,-197.14616004027948,-400.9013851658869,-421.65435555359926,-663.7265233614861,-688.5144210178586,-869.5257786749374
12,13,-1013113.847920398,527.3561025649176,345.76049908882464,-272.3217727354715,-840.6621758654368,-985.7245228282447,4304.9484998755925,1853.4703588331536,2245.4660527233655,1741.2927015257762,2766.9122833348224,784.7223198074048,85.38087016063956,-1445.9940943559452,493.1462242825413,154.83691740494893,-7.582498810222621,-1023.4529620709806,-918.5951698843712,1499.0905906490477,-1021.6032969350939,-859.0473179547608,-882.6819821160881,1013.7740076507775,-507.70026393229443,-1058.9536315453524,-1995.6119265314328,-693.6692899887985,-188.8306946444161,-1283.9513950897972,-1254.6558156948965,-1707.3203623106829,625.7945209462756,-1224.4607093071254,-323.7735471655835,-1155.2731531668383,2157.5434957326397,573.5291175074636,96.6638121493414,180.27823587149743,670.4183662361719,1962.1874732218641,380.6659233319151,-24.272839908593717,78.62491229871002,2568.2372788244643,705.2069601107689,-155.28511228555374,-1008.0517296096775,-103.14472359306104,-527.193572320488,-1988.4207555007715,-1947.0183643237083,-1882.697741092289
12,14,3191943.4987934185,-1578.0626401700003,-449.5260659638781,-746.2464576124468,-672.8007627913023,-494.0498930272256,2867.9635690214955,2710.9386679676413,2212.5934280319507,1492.3145711650247,2385.931927256117,988.013151917661,523.4889084220638,-832.441371445191,199.53383648283162,363.81916009978573,-614.9795812804715,-951.1082698631758,-877.5200690797278,678.8211430729723,32.77740374175516,-1077.1763894366559,-823.403126465886,-921.7959719859522,-1103.7314571737525,-1080.342622128212,-1774.0589379451442,-1449.9776760247964,-787.95359863006,-1283.234213030971,-1671.2626863219168,-2012.6568482488703,-946.8198887234354,-1530.2396369936332,-1422.8800040587519,-2761.7318933586625,-1535.87624574885,-2323.6219090839827,-1737.7842071319833,-1877.9189945074736,-1946.080326873606,-996.5399320818949,-1621.6041471215367,-1642.1650296927708,-1520.7482378993193,-491.4195402921542,-580.4032252420042,1308.1784758030265,10414.960079113098,-348.0911142556781,1296.9762000533995,4009.8344689413584,11607.912375418227,-185.8670349870646
12,16,63706.02389545073,-27.932025722098746,-2735.876770903274,-2476.7512158356,-1969.1681926164003,-1546.522800436574,-1762.1604621774434,-1791.570782977722,-904.3973580832028,-1085.7827613490995,-402.71976454652184,716.2067706449064,2026.2622879961575,2108.851250261354,2233.6815349653375,2656.9746134763072,2111.0249961700724,3695.117173417754,2984.8771491545003,3417.028218749346,2382.313182354482,2404.35725824487,2568.5063926249986,3899.9597966776387,2862.104741612469,2973.8399621349035,3518.9667353971154,3555.704755554537,2998.9447161663006,1448.8017295659536,1155.1661223210856,582.2174625169699,832.9026200707681,223.85391081369292,-420.1958995409094,-691.5773883097006,-742.8007161637562,-779.3337043420194,-1187.2387079829793,-1454.4491389266327,-1535.0752511521464,-1766.22608320506,-1830.3261021710084,-2063.0767213352187,-2248.565930999293,-2216.218014729287,-2469.703235153038,-2579.296302376716,-2347.528946336151,-2781.802641242504,-2986.5856964224877,-2960.3331366576253,-2980.1372718845555,-2642.242383034385
12,17,2024562.479537345,-1001.3154967687911,-447.64147044032893,-865.3954650414513,-635.0230625606683,-572.6316339627261,2232.952126934928,2171.148191083189,2267.1589996519992,2080.5455994724075,2724.7505789039565,1565.9845519069788,1080.0546983394302,402.49950186487126,187.88892272876532,-21.918266370395077,-334.2401170583277,-69.37223316534777,-544.4229254138091,372.74288360703923,164.08136724505,-691.9177280909507,-620.4042565287446,-733.5795974688785,-535.8559485655886,-449.9535558430817,-696.4691360015318,-589.0703189959432,-378.56631466425097,-663.0666018263965,-359.15887462375514,-531.7277461329904,-517.0967907385314,-828.6090072347735,-721.4727023786194,-884.5630406143888,-201.98841754904706,-496.34822771002945,-219.2443620943033,-420.99484254815167,-363.22913758833886,-419.8916102267579,-782.101411553045,-1338.6215911397267,-778.2221918985226,-332.4339721728167,-576.4356990530213,-368.86421138258925,824.4337864178107,-260.76573852767456,-122.37662458444564,796.4435458634715,2829.2364934232496,-326.2464156931704
