Store,Dept,Intercept,Year,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17,Week_18,Week_19,Week_20,Week_21,Week_22,Week_23,Week_24,Week_25,Week_26,Week_27,Week_28,Week_29,Week_30,Week_31,Week_32,Week_33,Week_34,Week_35,Week_36,Week_37,Week_38,Week_39,Week_40,Week_41,Week_42,Week_43,Week_44,Week_45,Week_46,Week_47,Week_48,Week_49,Week_50,Week_51
15,20,3315.9393237949666,-783.0245888331013,736.8648652121836,1108.1637856727734,1023.5961071604088,1182.2569513272865,1879.5503349520452,1900.1847257652025,2073.8531697579247,1779.426511609451,1557.1567401062287,1593.5742611123655,1397.161304837221,1695.907201786847,1663.0831939468492,1422.3328798310529,1293.0245418842796,1149.4387282307569,1068.1623373260784,1479.3430717263343,1459.4093565550756,1263.4724536298465,1732.812966875495,2401.7588173812387,1829.7718469659358,1746.4921471731807,1965.8074532277776,2387.8077306347896,1978.0013156651667,1463.1385520438853,1390.8328819824121,1587.8501663983893,1817.5023178994852,1487.668420348748,1601.0711979599391,1644.868341815064,1292.4535497744323,810.5939337829268,895.9664405331098,788.1814539266749,796.4396485306327,963.0444022579197,787.8507556456807,812.0197482667005,759.1712271953945,1247.34590345869,1031.5392265672747,808.3887584452856,3129.1979882579662,576.8211155985008,534.4322039892864,742.9496131581143,1295.347187871784
15,21,1855.220298448713,-510.82796716088086,830.1297400260382,827.1159082298616,971.4742380742045,860.7048450845629,1419.2379161650572,1413.2657457668633,1647.6254691148802,1271.9295176815908,1701.8467946492394,1352.1317283838273,1228.066791420036,1442.1273251680323,2574.8053012229147,1507.2599502012333,1040.8513195394285,1085.828972590757,1028.6484316722228,1374.5293251728328,1159.959551890308,930.4875207541486,1219.106474295715,1206.8519180070305,1314.2179342228474,1368.1235485514428,1421.6415173252326,1914.4272727963992,1435.5396370852511,1518.705015312969,1131.2536284332623,1175.4160123340248,1338.8960533847926,1145.3078687550474,1472.5304511053032,1286.1973568583305,1499.5915286984941,1113.783697232811,1099.2047532299969,862.1063976807318,888.5461862698849,1126.23738423532,1199.592030053169,1028.1385579108253,1100.837369855716,1171.9099207701386,1471.2983733491092,1503.1831911647187,2493.5461053636795,1786.899469305975,2589.775249266958,3660.844063812882,6597.2130159546805
15,22,6964.891814049453,-1172.5529407813415,1014.0892635571249,-659.4207153260604,670.4268322786738,1107.0952410775549,3902.7489815538443,4424.833921986516,6092.971237315995,4239.443582512751,3227.1919141099465,2319.493958285045,1647.6477044936364,1185.4787896693717,1226.6604656379297,486.8704375121374,1214.2407135732174,1478.6436970046348,569.6186911282057,500.5607851052225,600.2878792623178,422.6540432724137,380.10626760643265,-240.65556500547518,-141.92785665740973,331.4440881953617,563.7447594217725,1669.696604005382,876.4216364953785,1554.372955049761,1429.5537534684163,1733.2853109437158,1409.2778398166772,1187.321507487969,1716.0286894671144,3728.7198292572566,2660.059829376863,2698.5455456799355,1727.3997725828299,1299.2575693060294,2295.0629357873363,3434.05372227263,2556.164596622809,2231.117195110219,1462.6688660179464,2273.5619768887836,1958.6766675076997,822.3582074145147,9634.691182138005,2165.8083465083378,4622.193366066738,6570.544159520027,13337.283033748861
15,23,15096.45662411781,82.14641388726162,-935.6739116914359,-2387.4352172311383,-1646.2535851533248,-1380.1865978394658,2861.7929356336526,3482.0164688807436,5303.301896700064,2199.10878543215,4238.603241779041,3721.089890976993,4038.4775946401405,3998.2064243739032,6303.580335649113,8551.007882618957,4664.320984753837,3565.3460049906816,3330.1069206323873,7931.556761825512,3790.235728751002,4871.394895480367,11174.401911025727,12582.999974547933,8928.524335086215,11602.055542394868,14920.195641395487,10008.96165369688,12091.544043864164,7081.8865301579,5865.010237674258,5888.535142307997,7123.448139622196,5593.235230605727,5498.283017063777,7208.150482970524,7424.196205389874,7082.982386623964,4514.834613707265,2792.85513912865,3728.680871606477,8883.124285063874,6361.55882033426,8944.908650222174,7389.714477779628,8831.57934636786,7937.903239630152,5114.243794897675,17177.057265906187,12944.361329236544,23171.03806567553,29152.119510637476,53596.910325833356
15,24,2498.346302166953,-318.18223735242515,210.97634102439133,358.37471625253374,257.4922734210304,327.3195408300759,1824.999957626224,1880.8509472354795,2070.6244021451025,1443.6019842442774,2716.3299928274055,1938.0255540799956,1780.880335017396,2284.1798931572507,4536.154333438706,4139.495610449658,1808.4055957820851,1460.5509550064626,1082.4832372707112,2628.800722879741,988.6851435123572,1475.6542461855506,2872.020474244348,2686.512727859283,1165.8831536560804,1339.2317609707336,1404.0088978053257,2195.3477171339932,1382.5723611617116,619.506825666901,741.1658958091915,1529.6278049119671,2772.471528953102,2760.4684328588296,3827.831949005142,5779.032943292919,6266.216150102448,6455.739619896507,2291.001222810769,1140.945748020175,1932.0520346683452,2595.1839706852534,2174.5708776332162,2389.4424132179565,1909.2889192710572,2508.6069491580492,2202.4581359690683,1579.9336058459885,7355.852418139322,4895.636366527934,7986.24667577743,7100.347196914448,9088.717125865085
15,25,5515.372520676086,-361.47153487736995,144.59217083795374,1110.663278247916,709.8218898911218,393.7572298484605,1817.6299398171902,2150.0460034778953,2456.9815310196273,1337.7916644934967,2638.504381873179,3634.459980835466,3224.862519100378,4374.242825883317,7861.786477650998,7098.390407336042,4291.621701963448,3782.0044466908384,3455.0377358426517,6105.828672627579,3155.9155344417377,3416.690590570954,6540.06916903862,5671.796711878773,4140.479722886176,3307.553604255548,3931.2243759863704,3704.5510020807933,3086.957883619725,2399.647054382412,1857.3544325104663,2586.7347828642673,2855.338291410921,2765.396314920883,3296.947789686008,4502.64379846538,4621.661242922578,5375.118002804248,3973.5624110422073,2801.310439814185,4504.096020444304,4895.234598068595,4206.77392777281,5166.362119921943,4609.323913241893,4315.875516183424,3909.4341889052025,2911.3351365600697,4909.623613589258,7798.574533018525,12236.435314865928,9910.767303101278,11850.71978365679
15,26,2141.8183518248616,-1147.3838003296419,1231.408277727056,1754.8022984258034,1656.7407039002064,1797.9017881882965,2745.6756884168226,3898.237246114564,3964.0815681255845,3157.8156119273294,3448.785316445633,3723.975066490253,3219.3517308779815,3312.725636303926,5043.1568861538,4756.644317403312,3629.5721207692422,3080.75606403552,2374.6538640681915,3254.7498592749866,2082.5591468608827,2422.882170697366,3659.2637369441572,3291.214843808495,2435.4066150749045,1689.2760629732877,1498.3992974547489,2183.173895407725,1595.5216570627094,1521.0647319753248,1780.030187183113,1649.5022391676157,1853.9322293561877,2170.953162907086,1928.1696622084949,2510.2572680096723,2083.025944647628,3752.919696042208,3736.7899262712403,3442.0700078317445,3466.07657413808,3813.6917878094655,4058.3992512246045,4066.027641494631,3509.9353177498933,2924.759252322408,4057.955505509453,3874.8800348515556,8781.85979328458,4715.021104886639,5874.434154928524,6601.302769270343,9142.522871857334
15,27,1348.6276501332236,-290.15434074825095,525.9772330196688,465.0649844360448,542.6603057266675,478.2182909158707,750.7984753176526,697.3059045694145,789.757411970623,509.25969159049816,462.27960240395,591.3703700592453,427.5990005980509,224.81163509379974,215.37906286783453,263.38602850915277,301.44470323206656,237.14352760034672,122.86614888427158,18.997501440098787,9.065695941017339,-22.951664140388175,69.86206246098291,-132.3828016741806,-140.88253041027718,-230.76424691861774,-286.1388979785429,-308.37573488668556,-427.80200499988774,-424.511917968795,-381.44068875604677,-287.4010276806023,-155.51882185896315,-277.36806011006,-200.97110348879102,183.01908139170314,62.98783823809504,71.45757437631966,-112.15842546749576,-216.13774273611185,-60.24336853648044,550.3392479764626,387.78006341332855,599.788856377442,507.16498627162247,561.7782033292792,697.4115630688236,643.6561711524661,849.6011211069933,1141.9258191386684,1803.5099826485593,2215.498743988376,3615.196983573824
15,28,881.9907773478164,-122.59808398438103,-119.69417187156961,-218.58590947646633,-139.9241539521563,-179.83597499861906,-31.711299184514157,-139.15127549881902,-24.042003072776055,-115.52566563034691,91.73147799486827,102.48985617173031,37.86833892549197,-3.5071466830538043,255.62575957347383,189.28152955367028,0.1439096933815449,49.39627669592809,-136.00781148080517,-77.17210140541013,-70.69136031082499,-101.28451855375295,-191.42954127964992,-337.0759438148053,-220.21617359004006,-271.8330035929492,-369.6896779763315,-376.00662424564314,-450.19514947439836,-418.3928392097263,-411.4574820088642,-456.5810786039536,-369.1480267097452,-428.92224356887857,-361.85431114207574,-345.06349085297586,-349.7894023492051,-351.27167442083953,-152.0750838076837,-93.25486881260089,1.517974367166893,280.4540803796241,181.10083288442684,388.0175603746115,658.7388557239783,410.53587132544476,82.45340758955501,14.258916827511626,-46.72550479479127,-116.07449930439392,139.0966293987667,120.38998124957483,229.34013673324844
15,29,4311.946999887224,119.74067006512168,-211.83948244539943,-679.7519002532713,-422.7135965873358,-491.7161670786186,677.5194681256063,1169.9745150489634,1781.4165535962436,-48.69141357220519,214.0227345296522,-241.8838213133863,-65.72180445697632,-520.7688315523243,-212.48593943539777,233.42124450941992,-137.31004244919154,-1.0094323953179583,78.99933057859914,1091.4209270669821,463.04711406474144,-233.66433140081972,58.13947173853853,237.86608660078173,305.8161432395099,164.02802947224131,336.9811854906411,731.2966326581773,468.55371099673766,517.6543392025073,144.54335999535715,262.2868837099923,824.6927544808831,635.6493886412075,653.6007584214258,709.8026810147833,111.95625213212213,-73.30639763495537,-106.84111167231612,-379.74999386839914,-305.5403068562686,191.39558808605426,-139.40345671659907,-29.750197523195766,200.58434918474086,402.1996278554468,643.7438584392298,576.4753370688909,1789.1213320017048,853.551096954215,2791.956803189365,4341.979325381533,10442.924866331598
