Store,Dept,Intercept,Year_2010,Year_2011,Year_2012,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17,Week_18,Week_19,Week_20,Week_21,Week_22,Week_23,Week_24,Week_25,Week_26,Week_27,Week_28,Week_29,Week_30,Week_31,Week_32,Week_33,Week_34,Week_35,Week_36,Week_37,Week_38,Week_39,Week_40,Week_41,Week_42,Week_43,Week_44,Week_45,Week_46,Week_47,Week_48,Week_49,Week_50,Week_51,Week_52
1,1,22945.93967039354,275.7967541253449,-594.8483481611026,319.0515940285532,-6902.995944172383,-5481.948377103879,-5044.790402880482,-4396.794770905686,593.4866614502139,16051.729436829253,24397.696444350902,-3885.970786361149,-2591.6220126553776,-2122.334254699637,-1564.7118532701497,-1071.4663476958276,11957.138079952338,18017.942929257322,4060.4263180029507,5636.060461231417,1543.4303307405794,-5111.391536583728,-5122.205025277152,-6517.172384718453,-7087.249159003516,-6337.222779765015,-5962.71228070783,-6181.184765862305,-6425.776765876443,-6558.400717280841,-6141.676587112106,-6096.196863048224,-7102.238834832953,-6649.852584099462,-6144.702281591268,-6800.276599287101,-6909.007320337865,-7379.620959974496,-5078.648656151467,-3942.7925366982104,-3278.4657897545585,-3772.867393933571,-2820.4209975360395,193.95192569239927,1635.7348171890758,3001.528884540412,11886.075175918846,13673.268385485284,-3385.950556461984,-3507.6431218697135,-3879.416539870844,889.9179568653367,9034.756728021775,21744.972342208388,28617.626955512424,-1680.0160458819723
1,2,46290.97097887128,-831.2151851203116,-328.310120452937,1159.525305560797,-3644.6996028821454,-4558.482449696548,-3748.5067199431896,-4877.969910564109,2529.006603052698,1870.7345358666307,1901.2237148278646,1236.6394580731474,4269.629526290586,543.6105955861353,-300.79377346010165,-2185.639874696168,-281.6379127771839,1040.7726260045692,-660.7218661790678,-488.19328961799914,-1511.9007519985958,1527.8140089628507,-1894.5760234118106,-901.3769594638219,-574.7317484912066,186.11484104068063,1480.8768179457452,468.4408885399713,-1211.6886739768747,-400.77887514138246,-1088.766496558669,470.6937245703292,78.28033074021327,-556.7168231155622,3528.080034447885,1387.8208597650503,2374.251676196077,1761.5735752255157,3314.329181945244,-1649.620130836651,-894.8115441049134,-1844.6299977143292,-581.5649799271564,1118.1758262151734,-2680.564408154609,-1845.1689177381215,-2794.4363203056096,432.81268526853273,-1791.0944770713968,-2245.8120766681395,-2472.698860154723,-1728.766806644454,1855.7605857836263,5608.832508799244,16930.62449016364,-6499.748824022662
1,3,12789.778613458739,-283.7420628808675,123.99378724966078,159.74827563241868,1664.6566035977087,-469.6907415806462,-18.79251776162989,-1567.914935723895,-1757.488812742125,-1927.922898207666,-2444.2839094352166,-2623.703641232725,-2584.1577870820574,-2901.613980022267,-3981.5861445562173,-3715.821287944513,-3555.8646437246875,-3483.2490352431914,-3467.3160310105723,-2855.390829038208,-3941.0846618471655,-3207.4078577212117,-3931.8442072438443,-4003.1081173999214,-4101.278933730021,-4178.9313479727925,-4229.316989140675,-4325.597925861291,-4676.324259677103,-4644.745080250365,-3165.1706240131825,1860.793108310975,4837.25703559834,7387.262919509492,13260.18703652905,18124.992909949095,30960.119677397546,35973.980401565976,8368.496057603785,-1025.0045747535949,-1585.4051693119134,-3017.1501517440147,-3387.1041474123294,-2827.455029243879,-3418.1746304812154,-3453.9470515954836,-3753.476163117895,-3888.393816741705,-3481.826597673328,-3523.0426447741766,-2994.5209538514946,-2064.979358308819,-679.5290433131174,813.5549404019596,1942.4001952861986,-4334.084353194351
1,4,37260.80277741066,-628.2269354016635,-687.1451285943081,1315.372063987163,1551.3260213714952,-1759.8988806876273,-2383.0009640003846,-3947.29361414823,1286.5895434733231,-38.18528562484581,-1183.6402638238737,-2017.4828215214259,790.1331600497857,-1950.022736377953,-2018.644764510661,-3864.0624948590207,-1257.143622034041,346.29446377395163,-2234.1770212016904,-1750.0553814037323,-2445.478022153832,802.0047800570685,-2690.7802615744267,-1537.4801749616752,-397.9079553784024,2963.1295714639573,343.7316627380041,-1154.8909181187112,-1991.450733415798,1830.0552441471482,2069.5086748467997,-963.2518013122944,-1138.6128897415222,-937.8816376872913,3461.71493233072,1053.4786500722898,3091.230250452389,-246.94988205283693,1882.1735308623531,-832.8481424453904,-2036.8298408289359,-3002.71445853609,-2284.4304044442742,609.0395669270865,-1952.248013628835,-1882.1213520014235,-2071.5793861305965,2280.004664865022,181.43821688521743,2020.9728888703553,10175.064023669787,532.6861000785104,1032.0496021251486,2170.17518529819,11213.78011847729,284.48287178597013
1,5,25315.28895629618,-757.2785202061169,86.08299637379321,671.1955238315142,-3419.0093201306986,-6369.932678436328,-6086.865960184862,-3031.7013491433695,5108.610201894436,7302.901205627482,9406.9646168595,1714.5194434156217,3587.5160636236023,1134.2304089759882,-617.1515284188454,2181.8426457648234,270.01530447702953,-1434.242809908805,-6300.36669471357,-3903.6930538974875,-7007.705831224467,-6961.877434196113,-7690.155818732828,-8459.784393767179,-8206.154066726778,-6005.913147748794,-4711.851710113765,-4288.5359658930965,-6149.936224469186,-6168.87016539421,-6863.064581044675,-7633.832368874969,-7390.108856890318,-7917.609565146751,-6170.831490344399,-7173.051710018467,-7997.939056147293,-9550.448976903697,-8484.95884543159,-7895.815633646616,-6287.304081356233,-5980.364779850095,-4218.519749484538,-53.34617219184386,-2688.7493664193266,224.31210889020954,-3036.7472054071095,1868.5634832281855,2746.5417657128046,929.280973012143,49722.122206624204,8126.162559788261,19120.141928256402,26258.264652345537,50701.68635513846,5752.76466866639
1,6,5030.110255105084,708.7030340225322,-201.38515183797244,-507.31788217617884,-1944.1781541369821,-2016.0031697231047,-1999.9476559851564,-1755.6504104385222,-599.4966008225105,383.4847585026412,286.69824985324954,136.68406758943536,-409.02539783251666,-900.9459194572672,-617.7449698445424,-661.9155663924917,-1302.0171941095434,-1001.1827991804976,-579.541982587881,-808.4883412280275,-932.183484167934,446.81224709166014,750.06910887283,507.78351349287396,617.3443003105591,-852.891595022712,-934.0862969915477,-793.7501652129951,-819.7597967190256,-808.8210803224948,-422.6736419525974,-1528.8030168002,-1205.821533732697,-1382.948671611611,-1193.2484983573352,-1377.9910501705692,-2266.8977638054994,-1870.4314749535974,-1359.371490403922,-1140.9471492790801,-1371.737366846994,-944.7920663713732,-1460.6000688979136,-1404.5521471623103,-1171.5206975645299,-678.6523882767186,-732.3702332385828,-489.33382241270755,-1416.6376363049478,-1326.0656514130496,13629.158234967403,476.12323283348195,1627.1716638470407,6452.192404910956,17920.87585847278,1248.6293089929657
1,7,25754.014705786834,1805.79737256942,-805.7297916619272,-1000.06758087443,-9169.367936614857,-13513.375016935108,-12242.151660952019,-11518.878435996909,-7894.166834565804,-6636.784841809109,-5006.524867624758,-6436.9389199736115,-6129.502572105581,-7144.294018506422,-1948.689290667064,-8355.291390062384,-5456.862631067549,-4182.631474831489,-7294.406949268612,-6944.435401039095,-5966.317275535608,-5889.752228457609,-6111.278898540167,-4223.140775337995,3804.580774967962,11995.460744600883,4166.858394129145,2627.6456952911603,-174.0210779276983,-779.8467051068887,-2372.899841595963,-5744.569455628567,-7031.362628214638,-8133.357767765311,-7422.080166762691,-8852.172516019104,-9306.022741096624,-10451.194909923215,-8713.873638706411,-8441.596906643143,-10169.118246553719,-10352.862073419345,-10970.230402376983,-11031.340270835884,-10189.884547413083,-5860.389533232663,-6526.589872656716,-4664.452843835143,-2185.7769724506584,188.17517510039121,43596.9666962763,14729.577653700551,30433.14596726594,56505.14211533572,116883.1756811712,6507.705640277084
1,8,35625.15423051168,-838.906840084909,-653.672871282582,1492.5797113537922,-358.5636577938848,-1684.740995926852,-1021.0664686770878,-1586.762440131957,3906.9248338422117,1021.0494330548725,1182.5686678782283,-112.26693418658495,3412.611739128188,-144.1942304036391,-638.7028033432804,-2453.6243508209973,465.13423832302743,143.5625338030264,-1516.404267628706,-417.31326534301246,-722.6055083172761,2174.05593032721,-769.3059016233814,526.6053102306332,401.9371595696085,1709.2748662650704,1089.4988457293582,-111.25885868069575,-890.4742233612409,1007.9188766701797,504.52264801212846,-1267.7328594002438,-792.7077080484449,-1350.2318251854076,735.2919061048838,-2647.515977579967,-2900.471888944311,-3517.2776270257755,1240.4639050280316,-1641.1110721803238,-1487.594498416055,-2163.0940941206823,208.5820722996853,937.4755441006259,-1191.72633592972,-1173.2561061012086,-945.5956803094592,3152.8608303679703,-177.02638673767802,95.04619970262593,-315.1458199832734,1075.9636249478347,1330.8609183819917,1955.7771196344124,7016.187277677713,-1296.4026948855471
1,9,28242.140442020533,-1321.4262706301388,-725.8000206822811,2047.2262913011984,-11526.91273484825,-12911.498562213668,-13172.963945436708,-12333.00888662113,-9280.247094744676,-9562.02069316347,-7905.07166198346,-6060.4802881621545,-3120.7634998223934,-3216.3898328174455,8658.644232263941,93.12340228904571,2610.3047261980837,2743.2316008008916,2385.881764445687,-704.0901690690218,-804.2852602526098,-1387.7964927190828,-4399.201805270395,-3749.2574429612596,327.7378981981276,4177.370412130732,-1083.8608772163482,-1390.643615263596,-2116.136205056495,-4029.236300582355,-742.2143935860696,-8034.3141680630215,-8689.102056561329,-9347.6331916186,-9557.712004747067,-11093.88079850796,-3957.9259009364055,-4928.679775478808,17973.434945832716,12725.657826323235,2668.5105605686076,3311.4549350118086,12487.524833932406,7420.816321138724,5069.537323821212,488.4389198336855,5924.589211103187,12228.660294444508,10325.496429359611,7613.9358619324385,17916.3049489779,1344.0197196776428,2042.3451502955334,4735.689788549419,22055.929586081147,-2223.3130354737855
1,10,31115.98392536152,-1539.2057001621915,50.68286978338343,1488.5228303601966,-6827.763588324792,-7526.53480655779,-6957.997762324535,-5571.476632038548,1027.84304573651,2975.2590305524045,4113.115214205038,3193.198710635077,3866.82213148012,2164.719474030143,3337.461963719892,2102.682165520602,3430.005272066225,2613.6581952378133,867.8708841483974,300.05471392303076,-927.6602218870256,505.769539781696,-1459.364949582248,-720.9563941666084,1254.1175605843198,3029.660606601079,1422.234702766036,1380.687605758926,931.979664845407,847.4572782345596,1012.6489721446335,-485.52372628990713,-400.4367324865975,-528.6034854425964,2023.34724380864,898.4970153674592,927.0363340801542,1442.0968046969024,1039.185979840254,2009.323817621338,-397.3504105142362,-1603.0406452093696,-246.8115322730314,1629.6266222707955,15.642819953982888,-757.8930363486804,-4004.2141223088665,2942.8198893595136,-1494.3811521458056,-2733.7266233723085,-1288.0969496000337,-1560.1045620443724,-897.1339949424971,-2115.0413675207524,389.9960055779866,-5190.706569197898
